City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
119,cabo san lucas,22.8909,-109.9124,18.04,79,98,6.53,MX,1714189228
120,mogadishu,2.0371,45.3438,26.38,81,100,4.9,SO,1714189487
121,kanigiri,15.4,79.5167,33.63,35,58,3.04,IN,1714189488
122,princeville,45.7668,-61.2985,-2.72,75,2,1.74,CA,1714189488
123,arraial do cabo,-22.9661,-42.0278,24.13,79,92,8.78,BR,1714189489
124,nkowakowa,-23.8878,30.2871,16.43,93,70,0.5,ZA,1714189490
125,greymouth,-42.4667,171.2,10.19,85,100,0.66,NZ,1714189491
126,vila velha,-20.3297,-40.2925,24.41,74,99,1.63,BR,1714189492
127,i-n-salah,27.1935,2.4607,26.28,12,52,3.8,DZ,1714189492
128,kaset wisai,15.6556,103.5836,39.37,26,6,4.91,TH,1714189493
129,hami,42.8,93.45,13.41,22,100,2.36,CN,1714189493
130,amurzet,47.6967,131.0981,10.91,59,96,7.94,RU,1714189494
131,ust-nera,64.5667,143.2,-1.71,91,100,4.34,RU,1714189495
132,tocopilla,-22.092,-70.1979,18.59,82,4,2.34,CL,1714189495
133,charters towers,-20.1,146.2667,28.97,35,5,4.36,AU,1714189496
134,dodoma,-6.1722,35.7395,18.59,94,100,1.15,TZ,1714189497
135,gazi,35.3253,25.0669,13.33,59,5,1.59,GR,1714189497
136,troitsko-pechorsk,62.7084,56.1964,3.27,100,100,2.79,RU,1714189323
137,nemuro,43.3236,145.575,9.99,74,100,8.22,JP,1714189498
138,sechura,-5.5569,-80.8222,22.78,74,35,5.95,PE,1714189499
139,hammerfest,70.6634,23.6821,0.57,87,47,4.68,NO,1714189499
140,east london,-33.0153,27.9116,18.91,69,95,3.41,ZA,1714189501
141,wailua homesteads,22.0669,-159.378,22.95,73,86,5.65,US,1714189501
142,laminusa,5.5549,120.9136,29.24,74,75,4.59,PH,1714189502
143,vadso,70.0744,29.7487,0.15,82,100,6.55,NO,1714189370
144,kyabe,9.4515,18.9449,30.73,41,100,3.14,TD,1714189503
145,vinh,18.6667,105.6667,41.22,22,0,8.61,VN,1714189297
146,sotouboua,8.5667,0.9833,25.5,80,69,1.58,TG,1714189504
147,masuda,34.6667,131.85,19.49,76,99,0.61,JP,1714189505
148,villa constitucion,-33.2278,-60.3297,16.32,93,100,2.58,AR,1714189506
149,san patricio,28.017,-97.5169,23.68,94,20,6.52,US,1714189321
150,bilibino,68.0546,166.4372,-1.52,79,16,0.84,RU,1714189280
151,mahanoro,-19.9,48.8,23.79,87,81,1.04,MG,1714189508
152,kilindoni,-7.9139,39.6668,26.81,78,100,7.97,TZ,1714189509
153,kuraymah,18.55,31.85,28.0,17,0,3.35,SD,1714189509
154,olonkinbyen,70.9221,-8.7187,-0.9,90,18,2.41,SJ,1714189259
155,san antonio de pale,-1.4014,5.6325,28.4,82,93,2.08,GQ,1714189298
156,zhangjiakou,40.81,114.8794,21.47,30,100,4.33,CN,1714189511
157,kapoeta,4.7717,33.5903,24.91,68,100,4.15,SS,1714189512
158,arawa,-6.2132,155.5367,30.49,73,57,1.54,PG,1714189512
159,walvis bay,-22.9575,14.5053,16.32,71,91,1.41,NA,1714189513
160,chonchi,-42.6128,-73.8092,2.96,91,31,1.4,CL,1714189279
161,puerto santa,-8.9906,-78.6456,19.95,86,69,3.39,PE,1714189514
